Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2019;182;Wildberg;8;Meilen;108;Zürcher Oberland;982
01.01.2013;182;Wildberg;8;Meilen;108;Zürcher Oberland;985
01.01.2012;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;986
01.01.2013;40;Trüllikon;2;Andelfingen;110;Weinland;989
01.01.2014;182;Wildberg;8;Meilen;108;Zürcher Oberland;991
01.01.2011;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;992
01.01.2016;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;992
01.01.2011;40;Trüllikon;2;Andelfingen;110;Weinland;992
01.01.2010;40;Trüllikon;2;Andelfingen;110;Weinland;993
01.01.2017;182;Wildberg;8;Meilen;108;Zürcher Oberland;994
01.01.2014;12;Rifferswil;1;Affoltern;105;Knonaueramt;999
01.01.2011;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1001
01.01.2012;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1002
01.01.2012;182;Wildberg;8;Meilen;108;Zürcher Oberland;1002
01.01.2018;182;Wildberg;8;Meilen;108;Zürcher Oberland;1002
01.01.2010;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1005
01.01.2013;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1005
01.01.2015;182;Wildberg;8;Meilen;108;Zürcher Oberland;1006
01.01.2020;182;Wildberg;8;Meilen;108;Zürcher Oberland;1009
01.01.2017;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1012
01.01.2015;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1013
01.01.2014;40;Trüllikon;2;Andelfingen;110;Weinland;1013
01.01.2015;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1014
01.01.2014;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1014
01.01.2014;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1014
01.01.2015;40;Trüllikon;2;Andelfingen;110;Weinland;1014
01.01.2018;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1016
01.01.2017;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1020
01.01.2020;24;Buch a.I.;2;Andelfingen;110;Weinland;1022
01.01.2016;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1022
01.01.2011;102;Weiach;4;Dielsdorf;111;Zürcher Unterland;1022
01.01.2012;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1025
01.01.2018;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1028
01.01.2015;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1029
01.01.2010;241;Aesch;11;Winterthur;104;Limmattal;1034
01.01.2019;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1037
01.01.2020;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;1038
01.01.2018;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1054
01.01.2017;40;Trüllikon;2;Andelfingen;110;Weinland;1054
01.01.2020;40;Trüllikon;2;Andelfingen;110;Weinland;1055
01.01.2015;12;Rifferswil;1;Affoltern;105;Knonaueramt;1056
01.01.2019;40;Trüllikon;2;Andelfingen;110;Weinland;1056
01.01.2019;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1057
01.01.2017;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1057
01.01.2018;40;Trüllikon;2;Andelfingen;110;Weinland;1062
01.01.2016;40;Trüllikon;2;Andelfingen;110;Weinland;1064
